video_id,title,video_url,creator,current_ingredients,current_tags,current_time,current_temperature,current_knife,current_heat,audit_category,correct_ingredients,correct_time,correct_temperature,correct_knife,correct_heat,reviewer,reviewed_at,review_status,notes
Yjr1sXYfkSw,時短でできる春雨スープレシピを大公開！,https://www.youtube.com/watch?v=Yjr1sXYfkSw,あおいの給食室🔪,豚肉、鶏肉、挽肉、豆腐、春雨、キャベツ、小松菜、ネギ、もやし、玉ねぎ、にんじん、しいたけ,"pork,chicken,minced_meat,tofu,harusame,cabbage,komatsuna,green_onion,bean_sprouts,onion,carrot,shiitake",easy,warm,true,true,きのこ,,,,,,,,unreviewed,
Rm5DbMVOwZU,鮭を買ったら #簡単レシピ,https://www.youtube.com/watch?v=Rm5DbMVOwZU,さくらい ゆか【管理栄養士】,サケ、バター,"salmon,butter",normal,warm,false,true,チーズ・バター・マヨ系,,,,,,,,unreviewed,
o-KvgCX2OA0,本日の‼️てぬきお昼ごはん🤭バター釜玉うどん,https://www.youtube.com/watch?v=o-KvgCX2OA0,あつメシ×あさとファミリー,卵、うどん、ネギ、バター,"egg,udon,green_onion,butter",easy,warm,true,true,卵,,,,,,,,unreviewed,
v012YMWZxnQ,簡単すぎ・・・え、今から作ろうかな【ポン酢豚丼】#どんぶり#丼 #豚肉 #豚こま肉 #玉ねぎ #ポン酢 #簡単レシピ #レシピ動画,https://www.youtube.com/watch?v=v012YMWZxnQ,デリッシュキッチン,豚肉、ご飯・米、ネギ、玉ねぎ、ショウガ,"pork,rice,green_onion,onion,ginger",easy,warm,true,true,根菜,,,,,,,,unreviewed,
yrAKZZsXc_w,生クリーム？小麦粉？ルー？全部いらねえのにお店の味、信じられない【虚無チーズパスタ】#shorts #リュウジ #料理,https://www.youtube.com/watch?v=yrAKZZsXc_w,料理研究家リュウジのバズレシピ,パスタ、チーズ、小麦粉,"pasta,cheese,flour",normal,warm,false,true,米,,,,,,,,unreviewed,
Tl_ebKQEuVA,レンジで簡単！豚バラ白菜のウマいヤツ,https://www.youtube.com/watch?v=Tl_ebKQEuVA,まるみキッチン【簡単レシピ】,豚肉、napa_cabbage、ネギ,"pork,napa_cabbage,green_onion",easy,warm,true,true,肉類,,,,,,,,unreviewed,
zrLoT5kmtGk,【150万回再生人気レシピ】簡単！節約おかずレシピ10選,https://www.youtube.com/watch?v=zrLoT5kmtGk,macaroni | マカロニ,豚肉、鶏肉、えび、厚揚げ、ネギ、もやし、ショウガ、バター、マヨネーズ,"pork,chicken,shrimp,atsuage,green_onion,bean_sprouts,ginger,butter,mayonnaise",normal,warm,true,true,葉物野菜,,,,,,,,unreviewed,
dYnJIaFrLe8,とろとろ餡と生姜でほっかほか！卵とじうどん ｜ How To Make Egg-drop Udon,https://www.youtube.com/watch?v=dYnJIaFrLe8,デリッシュキッチン,豚肉、鶏肉、豆腐、卵、うどん、パスタ、にら、ネギ、もやし、大根、ショウガ、マヨネーズ,"pork,chicken,tofu,egg,udon,pasta,nira,green_onion,bean_sprouts,daikon,ginger,mayonnaise",easy,warm,true,true,豆腐・大豆系,,,,,,,,unreviewed,
0tWjgr1qtq0,190円で作ったこんちくしょーが美味すぎた🎠,https://www.youtube.com/watch?v=0tWjgr1qtq0,300円先生【300円以下で料理したい】,たこ、ネギ、こんにゃく、ショウガ,"octopus,green_onion,konnyaku,ginger",easy,warm,true,true,魚介,,,,,,,,unreviewed,
Wve9UOfzIm0,柔らかさっぱりヘルシー！鶏むね肉の南蛮漬けの作り方 #料理 #鶏むね #shorts,https://www.youtube.com/watch?v=Wve9UOfzIm0,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,鶏肉,chicken,normal,cold,true,true,鶏肉,,,,,,,,unreviewed,
JRuHDeKRk44,【カレー余り】 とろ〜り絶品カレーパン #残り #時短レシピ #幼児食 #カレー #カレーパン #朝ごはん #食パン #おやつ #トモニテ #shorts,https://www.youtube.com/watch?v=JRuHDeKRk44,トモニテ,卵、ビーフン・フォー、チーズ、パン,"egg,rice_noodles,cheese,bread",easy,warm,false,true,麺,,,,,,,,unreviewed,
-EGlVc8ft4g,【53kg→40kg】簡単なのにめっちゃ痩せる神レシピ👼🏻‎フライパンに放っとくだけで10分で5品完成💛#ダイエット #レシピ #Vlog #ルーティン#ワンパン,https://www.youtube.com/watch?v=-EGlVc8ft4g,33ちゃん,卵、小松菜、もやし、にんじん、大根、しめじ、ショウガ、にんにく,"egg,komatsuna,bean_sprouts,carrot,daikon,shimeji,ginger,garlic",easy,warm,true,true,きのこ,,,,,,,,unreviewed,
v4UDCpbzIVY,材料3つ！レンジで簡単「のび〜るチョコ餅」#shorts #food #recipe #簡単料理 #簡単レシピ #料理 #レシピ,https://www.youtube.com/watch?v=v4UDCpbzIVY,低空飛行キッチン,牛乳,milk,easy,warm,false,true,チーズ・バター・マヨ系,,,,,,,,unreviewed,
PHA_9YugW0k,いや、これは流石に絶賛されろ。お蕎麦屋さんより旨い自信あります。【至高の鍋焼きうどん】,https://www.youtube.com/watch?v=PHA_9YugW0k,料理研究家リュウジのバズレシピ,鶏肉、油揚げ、卵、うどん、そば、ネギ、しいたけ,"chicken,aburaage,egg,udon,soba,green_onion,shiitake",easy,warm,true,true,卵,,,,,,,,unreviewed,
VqqVlMtWx7M,【週2000円】節約おうちごはんを楽しむ一人暮らし👩‍🦰 / 野菜長持ち保存🥕 / かさ増しスコッチエッグ🐣💞,https://www.youtube.com/watch?v=VqqVlMtWx7M,shiroのくらし,鶏肉、卵、ネギ、玉ねぎ、にんにく、マヨネーズ,"chicken,egg,green_onion,onion,garlic,mayonnaise",easy,warm,true,true,根菜,,,,,,,,unreviewed,
XP2cz6hpgB4,【混ぜて焼くだけ！】１０分で作れる簡単おつまみ・おかず「ニラ玉焼き」の作り方 #shorts #recipe #cooking,https://www.youtube.com/watch?v=XP2cz6hpgB4,kattyanneru/かっちゃんねる,豆腐、卵、にら、小麦粉,"tofu,egg,nira,flour",easy,warm,false,true,米,,,,,,,,unreviewed,
9BAa_E8b2vU,なす味噌丼🧑🏻‍🍳🍆#簡単レシピ #給食 #茄子 #丼 #幼児食 #shorts,https://www.youtube.com/watch?v=9BAa_E8b2vU,給食の先生ゆりまま,挽肉、ご飯・米、なす、ピーマン、ショウガ,"minced_meat,rice,eggplant,bell_pepper,ginger",easy,warm,true,true,肉類,,,,,,,,unreviewed,
n4NEHOew2ho,食材２つだけ！高タンパク質で痩せる鶏ネギ塩炒め弁当【1食200円】,https://www.youtube.com/watch?v=n4NEHOew2ho,りんのおうちごはん,ネギ,green_onion,normal,warm,true,true,葉物野菜,,,,,,,,unreviewed,
sHvKlltB34w,節約食材で！ボリュームたっぷり「厚揚げ南蛮」 #材料と作り方は概要欄 #厚揚げ #厚揚げレシピ #節約 #節約レシピ #レシピ #料理 #フーディストノート #フーディスト,https://www.youtube.com/watch?v=sHvKlltB34w,フーディストノート,鶏肉、厚揚げ、卵、ビーフン・フォー、マヨネーズ,"chicken,atsuage,egg,rice_noodles,mayonnaise",normal,warm,true,true,豆腐・大豆系,,,,,,,,unreviewed,
iabPdt_5KTg,思わず悶絶してしまうほどガチで旨い『和風パスタ』を食べたことはありますか？,https://www.youtube.com/watch?v=iabPdt_5KTg,だれウマ【料理研究家】,豚肉、たこ、パスタ、ネギ、昆布、にんにく、バター,"pork,octopus,pasta,green_onion,kombu,garlic,butter",normal,warm,true,true,魚介,,,,,,,,unreviewed,
17bm1K-wOqM,57歳初めてのせいろ料理,https://www.youtube.com/watch?v=17bm1K-wOqM,りさねーぜ ひとりの戸建て暮らし,鶏肉,chicken,normal,warm,true,true,鶏肉,,,,,,,,unreviewed,
7Zm7CCKEPQ8,【節約レシピ】50円でパスタランチ🍝💕 #節約 #節約レシピ #パスタ,https://www.youtube.com/watch?v=7Zm7CCKEPQ8,いずみ⌇3年で1000万円貯める節約家夫婦,白身魚、パスタ,"whitefish,pasta",normal,warm,false,true,麺,,,,,,,,unreviewed,
SeYu_w3cb9A,食べだしたらとまらない『カリッカリえのき』 #簡単レシピ #節約レシピ #おつまみレシピ,https://www.youtube.com/watch?v=SeYu_w3cb9A,まさまさ・楽うまレシピ,えのき茸、ショウガ、にんにく,"enoki,ginger,garlic",normal,warm,false,true,きのこ,,,,,,,,unreviewed,
C_SNyKS4xl4,【悪魔のチーズメルトソーセージ丼】,https://www.youtube.com/watch?v=C_SNyKS4xl4,まるみキッチン【簡単レシピ】,ご飯・米、にんにく、チーズ、バター,"rice,garlic,cheese,butter",easy,warm,false,true,チーズ・バター・マヨ系,,,,,,,,unreviewed,
4s9NlCSthGo,鶏胸肉を毎日1枚以上食べる料理家が辿り着いた、もはやとろける最高の鶏胸チャーシュー,https://www.youtube.com/watch?v=4s9NlCSthGo,だれウマ【料理研究家】,卵、ネギ、ショウガ、にんにく,"egg,green_onion,ginger,garlic",normal,warm,true,true,卵,,,,,,,,unreviewed,
FapN3xuNc6c,【プロ直伝】 人気うどん屋さんから教わった【手打ちうどん】の作り方を公開します,https://www.youtube.com/watch?v=FapN3xuNc6c,料理人設楽の料理道場,うどん、コーン缶、小麦粉,"udon,corn,flour",easy,warm,false,true,根菜,,,,,,,,unreviewed,
SmeG5uQ16cY,【ご飯系レシピNo.1】オートミール・キャメロン・ディアス丼,https://www.youtube.com/watch?v=SmeG5uQ16cY,ドムス【見るだけで痩せるチャンネル】,卵、ご飯・米、ネギ、玉ねぎ、ショウガ、バター,"egg,rice,green_onion,onion,ginger,butter",easy,warm,true,true,米,,,,,,,,unreviewed,
HDe_3PULafE,無条件に美味しい【ガーリックバター醤油のパスタ】#shorts,https://www.youtube.com/watch?v=HDe_3PULafE,ファビオ飯 /イタリア料理人の世界,ベーコン、ブリ、パスタ、ほうれん草、にんにく、バター,"bacon,yellowtail,pasta,spinach,garlic,butter",normal,warm,false,true,肉類,,,,,,,,unreviewed,
Uah1fQTqB0A,給食で大人気のもずく丼ってどんな味？,https://www.youtube.com/watch?v=Uah1fQTqB0A,あおいの給食室🔪,豚肉、挽肉、ご飯・米、ネギ、ピーマン、玉ねぎ、にんじん、コーン缶、ショウガ,"pork,minced_meat,rice,green_onion,bell_pepper,onion,carrot,corn,ginger",easy,warm,true,true,葉物野菜,,,,,,,,unreviewed,
yMFIMRVbAg8,【食費節約】あるものでやりくりする一人暮らしの自炊記録👩‍🦰🍚｜鶏むね最強レシピとアレンジ🍳 ｜すっきり片付くキッチンリセット🌿,https://www.youtube.com/watch?v=yMFIMRVbAg8,shiroのくらし,鶏肉、豆腐、チーズ,"chicken,tofu,cheese",easy,warm,true,true,豆腐・大豆系,,,,,,,,unreviewed,
